DateTime,Entries,UniqueIPs
1464795108,1101,1101
1464806181,1106,1106
1464817182,1109,1109
1464828096,1113,1113
1464838354,1121,1121
1464848944,1126,1126
1464859935,1127,1127
1464870680,1134,1134
1464881751,1137,1137
1464892565,1142,1142
1464903361,1143,1143
1464914410,1144,1144
1464924832,1148,1148
1464935715,1152,1152
1464946734,1157,1157
1464957601,1155,1155
1464968118,1152,1152
1464979184,1154,1154
1464990032,1148,1148
1465000730,1143,1143
1465011618,1142,1142
1465022671,1146,1146
1465033614,1144,1144
1465044495,1148,1148
1465055429,1147,1147
1465066458,1144,1144
1465077602,1139,1139
1465088815,1141,1141
1465099931,1142,1142
1465110743,1140,1140
1465121736,1136,1136
1465132722,1136,1136
1465143616,1137,1137
1465154264,1134,1134
1465165212,1134,1134
1465176212,1137,1137
1465187297,1133,1133
1465198188,1134,1134
1465209134,1131,1131
1465219813,1128,1128
1465230437,1125,1125
1465241516,1126,1126
1465252414,1130,1130
1465263179,1128,1128
1465274008,1130,1130
1465284865,1130,1130
1465295888,1132,1132
1465306800,1132,1132
1465317595,1137,1137
1465328631,1141,1141
1465339470,1145,1145
1465350162,1147,1147
1465360996,1141,1141
1465371984,1140,1140
1465382968,1139,1139
1465393755,1138,1138
1465404623,1140,1140
1465415452,1139,1139
1465425972,1134,1134
1465437029,1133,1133
1465447880,1136,1136
1465458572,1133,1133
1465469462,1132,1132
1465480522,1131,1131
1465491502,1136,1136
1465502387,1141,1141
1465513414,1143,1143
1465523592,1146,1146
1465534154,1146,1146
1465545114,1147,1147
1465556052,1150,1150
1465566940,1151,1151
1465577454,1155,1155
1465588231,1158,1158
1465598623,1156,1156
1465609535,1156,1156
1465619844,1153,1153
1465630653,1153,1153
1465641355,1153,1153
1465651642,1149,1149
1465662453,1149,1149
1465672259,1148,1148
1465683329,1153,1153
1465694067,1152,1152
1465704338,1150,1150
1465714958,1148,1148
1465726101,1145,1145
1465735639,1142,1142
1465746424,1141,1141
1465757465,1143,1143
1465768165,1141,1141
1465779021,1138,1138
1465789904,1138,1138
1465800884,1141,1141
1465811936,1138,1138
1465822979,1139,1139
1465833872,1135,1135
1465844363,1134,1134
1465855056,1130,1130
1465865763,1131,1131
1465876743,1127,1127
1465887801,1129,1129
1465898558,1131,1131
1465909163,1134,1134
1465919829,1132,1132
1465930756,1133,1133
1465941367,1134,1134
1465951952,1131,1131
1465962931,1131,1131
1465973913,1131,1131
1465983437,1129,1129
1465994060,1125,1125
1466004924,1125,1125
1466015832,1130,1130
1466026439,1131,1131
1466037552,1133,1133
1466048568,1143,1143
1466059725,1141,1141
1466070447,1140,1140
1466081297,1142,1142
1466092201,1135,1135
1466103107,1130,1130
1466112950,1126,1126
1466123976,1135,1135
1466135001,1137,1137
